Date,Close,Open,Low,High,Volume
2023-07-12,30391.646484375,30622.24609375,30228.8359375,30959.96484375,14805659717
2023-07-13,31476.048828125,30387.48828125,30268.3515625,31814.515625,23686079548
2023-07-14,30334.068359375,31474.720703125,29966.38671875,31582.25390625,20917902660
2023-07-15,30295.806640625,30331.783203125,30263.462890625,30407.78125,8011667756
2023-07-16,30249.1328125,30297.47265625,30089.669921875,30437.560546875,8516564470
2023-07-17,30145.888671875,30249.626953125,29685.783203125,30336.400390625,13240156074
2023-07-18,29856.5625,30147.0703125,29556.427734375,30233.65625,13138897269
2023-07-19,29913.923828125,29862.046875,29794.26953125,30184.181640625,12128602812
2023-07-20,29792.015625,29915.25,29638.095703125,30195.53125,14655207121
2023-07-21,29908.744140625,29805.111328125,29733.8515625,30045.998046875,10972789818
2023-07-22,29771.802734375,29908.697265625,29664.12109375,29991.615234375,7873300598
2023-07-23,30084.5390625,29790.111328125,29741.52734375,30330.640625,9220145050
2023-07-24,29176.916015625,30081.662109375,28934.294921875,30093.39453125,15395817395
2023-07-25,29227.390625,29178.970703125,29062.43359375,29353.16015625,10266772793
2023-07-26,29354.97265625,29225.759765625,29113.912109375,29675.552734375,13497554655
2023-07-27,29210.689453125,29353.798828125,29099.3515625,29560.966796875,10770779217
2023-07-28,29319.24609375,29212.1640625,29125.845703125,29521.513671875,11218474952
2023-07-29,29356.91796875,29319.4453125,29264.166015625,29396.84375,6481775959
2023-07-30,29275.30859375,29357.09375,29059.501953125,29443.169921875,8678454527
2023-07-31,29230.111328125,29278.314453125,29131.578125,29489.873046875,11656781982
2023-08-01,29675.732421875,29230.873046875,28657.0234375,29675.732421875,18272392391
2023-08-02,29151.958984375,29704.146484375,28946.509765625,29987.998046875,19212655598
2023-08-03,29178.6796875,29161.8125,28959.48828125,29375.70703125,12780357746
2023-08-04,29074.091796875,29174.3828125,28885.3359375,29302.078125,12036639988
2023-08-05,29042.126953125,29075.388671875,28957.796875,29102.46484375,6598366353
